Year	Format2	Format	Units	Revenue	CPI Adjustment
2025	Digital Downloads	Download Album		$110,951,310	$110,951,310
2025	Digital Downloads	Download Music Video		$0	$0
2025	Digital Downloads	Download Single		$110,813,719	$110,813,719
2025	Digital Downloads	Kiosk		$1,281,891	$1,281,891
2025	Digital Downloads	Other Digital		$45,439,301	$45,439,301
2025	Digital Downloads	Ringtones & Ringbacks		$4,162,301	$4,162,301
2025	Digital Downloads	Total		$272,648,523	$272,648,523
2025	Physical	8 - Track		$0	$0
2025	Physical	Cassette		$0	$0
2025	Physical	Cassette Single		$0	$0
2025	Physical	CD		$312,381,088	$312,381,088
2025	Physical	CD Single		$0	$0
2025	Physical	DVD Audio		$0	$0
2025	Physical	LP/EP		$1,042,866,521	$1,042,866,521
2025	Physical	Music Video (Physical)		$0	$0
2025	Physical	Other Physical		$10,554,236	$10,554,236
2025	Physical	Other Tapes		$0	$0
2025	Physical	SACD		$0	$0
2025	Physical	Vinyl Single		$15,224,417	$15,224,417
2025	Physical	Total		$1,381,026,262	$1,381,026,262
2025	Streaming	Free Streaming		$1,789,272,032	$1,789,272,032
2025	Streaming	Other Streaming		$1,308,963,600	$1,308,963,600
2025	Streaming	Paid Subscriptions (Non-Premium)		$495,210,366	$495,210,366
2025	Streaming	Paid Subscriptions (Premium)		$5,881,064,635	$5,881,064,635
2025	Streaming	Total		$9,474,510,633	$9,474,510,633
2025	Synchronization	Synchronization		$407,112,273	$407,112,273
2025	Synchronization	Total		$407,112,273	$407,112,273
2025	Total	Total		$11,535,297,690	$11,535,297,690
2024	Digital Downloads	Download Album		$122,252,874	$125,469,675
2024	Digital Downloads	Download Music Video		$0	$0
2024	Digital Downloads	Download Single		$113,320,213	$116,301,972
2024	Digital Downloads	Kiosk		$1,206,431	$1,238,176
2024	Digital Downloads	Other Digital		$33,780,046	$34,668,890
2024	Digital Downloads	Ringtones & Ringbacks		$4,204,963	$4,315,606
2024	Digital Downloads	Total		$274,764,527	$281,994,319
2024	Physical	8 - Track		$0	$0
2024	Physical	Cassette		$0	$0
2024	Physical	Cassette Single		$0	$0
2024	Physical	CD		$338,947,565	$347,866,186
2024	Physical	CD Single		$0	$0
2024	Physical	DVD Audio		$0	$0
2024	Physical	LP/EP		$954,439,218	$979,553,077
2024	Physical	Music Video (Physical)		$0	$0
2024	Physical	Other Physical		$14,734,880	$15,122,594
2024	Physical	Other Tapes		$0	$0
2024	Physical	SACD		$0	$0
2024	Physical	Vinyl Single		$7,395,288	$7,589,878
2024	Physical	Total		$1,315,516,951	$1,350,131,734
2024	Streaming	Free Streaming		$1,799,537,356	$1,846,888,017
2024	Streaming	Other Streaming		$1,360,492,365	$1,396,290,573
2024	Streaming	Paid Subscriptions (Non-Premium)		$518,709,229	$532,357,862
2024	Streaming	Paid Subscriptions (Premium)		$5,506,459,112	$5,651,348,838
2024	Streaming	Total		$9,185,198,063	$9,426,885,290
2024	Synchronization	Synchronization		$412,632,726	$423,490,201
2024	Synchronization	Total		$412,632,726	$423,490,201
2024	Total	Total		$11,188,112,265	$11,482,501,545
2023	Digital Downloads	Download Album		$146,575,306	$154,868,999
2023	Digital Downloads	Download Music Video		$0	$0
2023	Digital Downloads	Download Single		$132,808,476	$140,323,198
2023	Digital Downloads	Kiosk		$1,468,323	$1,551,405
2023	Digital Downloads	Other Digital		$26,506,389	$28,006,204
2023	Digital Downloads	Ringtones & Ringbacks		$4,885,972	$5,162,436
2023	Digital Downloads	Total		$312,244,466	$329,912,242
2023	Physical	8 - Track		$0	$0
2023	Physical	Cassette		$0	$0
2023	Physical	Cassette Single		$0	$0
2023	Physical	CD		$344,574,351	$364,071,454
2023	Physical	CD Single		$0	$0
